,date,new_case,new_death,country
0,2/27/20 23:59,2,0,International
1,2/27/20 23:59,1,0,International
2,2/27/20 23:59,7,0,International
3,2/27/20 22:49,1,0,International
4,2/27/20 22:42,1,0,International
5,2/27/20 20:51,1,0,International
6,2/27/20 20:50,1,0,International
7,2/27/20 20:30,1,0,International
8,2/27/20 20:23,1,0,International
9,2/27/20 20:22,2,0,International
10,2/27/20 19:31,3,0,International
11,2/27/20 19:30,6,0,International
12,2/27/20 19:14,1,0,International
13,2/27/20 19:05,20,0,International
14,2/27/20 18:50,5,0,International
15,2/27/20 18:49,4,0,International
16,2/27/20 18:25,14,0,International
17,2/27/20 17:46,127,3,International
18,2/27/20 17:45,1,0,International
19,2/27/20 17:25,1,0,International
20,2/27/20 16:46,6,0,International
21,2/27/20 16:45,1,0,International
22,2/27/20 15:00,1,0,International
23,2/27/20 14:30,2,0,International
24,2/27/20 14:22,1,0,International
25,2/27/20 13:03,1,0,International
26,2/27/20 13:02,3,0,International
27,2/27/20 11:42,1,0,International
28,2/27/20 11:34,75,2,International
29,2/27/20 11:00,2,0,International
30,2/27/20 10:45,2,0,International
31,2/27/20 10:27,104,4,International
32,2/27/20 09:35,1,0,International
33,2/27/20 09:22,2,0,International
34,2/27/20 09:05,2,0,International
35,2/27/20 08:45,13,0,International
36,2/27/20 08:30,3,0,International
37,2/27/20 08:33,171,0,International
38,2/27/20 08:11,1,0,International
39,2/27/20 08:08,0,1,International
40,2/27/20 08:03,1,0,International
41,2/27/20 07:46,2,3,International
42,2/27/20 07:22,17,0,International
43,2/27/20 07:14,1,0,International
44,2/27/20 07:06,1,0,International
45,2/27/20 07:04,1,0,International
46,2/27/20 07:01,2,0,International
47,2/27/20 06:16,1,0,International
48,2/27/20 06:04,1,0,International
49,2/27/20 05:38,1,0,International
50,2/27/20 01:58,0,1,International
51,2/27/20 01:20,433,29,China
52,2/27/20 01:07,334,0,International
53,2/26/20 23:59,17,0,International
54,2/26/20 23:59,1,0,International
55,2/26/20 21:10,54,0,International
56,2/26/20 20:52,1,0,International
57,2/26/20 20:25,1,0,International
58,2/26/20 20:23,7,0,International
59,2/26/20 20:11,1,0,International
60,2/26/20 19:30,3,0,International
61,2/26/20 19:00,27,0,International
62,2/26/20 18:33,1,0,International
63,2/26/20 18:20,1,0,International
64,2/26/20 18:05,1,0,International
65,2/26/20 17:59,1,0,International
66,2/26/20 17:08,1,0,International
67,2/26/20 16:55,1,0,International
68,2/26/20 16:35,1,0,International
69,2/26/20 16:25,1,0,International
70,2/26/20 16:15,1,0,International
71,2/26/20 13:14,1,0,International
72,2/26/20 12:11,2,0,International
73,2/26/20 12:08,1,0,International
74,2/26/20 11:42,1,0,International
75,2/26/20 11:11,17,1,International
76,2/26/20 11:05,0,1,International
77,2/26/20 11:03,1,0,International
78,2/26/20 10:45,7,0,International
79,2/26/20 10:35,1,0,International
80,2/26/20 10:15,1,0,International
81,2/26/20 10:03,4,0,International
82,2/26/20 09:53,1,0,International
83,2/26/20 09:35,44,4,International
84,2/26/20 09:30,6,0,International
85,2/26/20 09:15,3,1,International
86,2/26/20 09:13,32,0,International
87,2/26/20 09:01,1,0,International
88,2/26/20 08:02,115,0,International
89,2/26/20 07:48,1,0,International
90,2/26/20 06:39,1,0,International
91,2/26/20 06:27,3,0,International
92,2/26/20 06:13,1,0,International
93,2/26/20 06:10,1,0,International
94,2/26/20 04:57,3,0,International
95,2/26/20 01:59,0,1,International
96,2/26/20 01:40,5,0,China
97,2/26/20 01:40,401,52,China
98,2/26/20 00:55,169,0,International
99,2/25/20 23:31,10,0,International
100,2/25/20 23:30,2,0,International
101,2/25/20 23:25,2,0,International
102,2/25/20 23:20,2,0,International
103,2/25/20 22:06,1,0,International
104,2/25/20 22:05,1,0,International
105,2/25/20 20:40,1,0,International
106,2/25/20 20:13,1,0,International
107,2/25/20 19:30,1,0,International
108,2/25/20 18:10,0,1,International
109,2/25/20 18:02,2,0,International
110,2/25/20 17:55,4,0,International
111,2/25/20 17:54,1,0,International
112,2/25/20 17:25,39,3,International
113,2/25/20 16:12,1,0,International
114,2/25/20 16:05,6,0,International
115,2/25/20 15:20,1,0,International
116,2/25/20 15:15,4,0,International
117,2/25/20 15:14,2,0,International
118,2/25/20 15:13,1,0,International
119,2/25/20 14:59,1,0,International
120,2/25/20 14:23,1,0,International
121,2/25/20 12:50,9,0,International
122,2/25/20 11:50,1,0,International
123,2/25/20 11:43,1,0,International
124,2/25/20 11:04,38,0,International
125,2/25/20 09:44,34,0,International
126,2/25/20 09:25,4,0,International
127,2/25/20 09:14,14,0,International
128,2/25/20 08:53,0,1,International
129,2/25/20 08:04,84,1,International
130,2/25/20 07:47,6,0,International
131,2/25/20 07:36,3,0,International
132,2/25/20 06:30,0,2,International
133,2/25/20 05:45,1,0,International
134,2/25/20 04:51,1,0,International
135,2/25/20 04:50,2,0,International
136,2/25/20 02:05,0,1,International
137,2/25/20 02:02,0,1,International
138,2/25/20 01:15,2,0,International
139,2/25/20 01:05,60,0,International
140,2/25/20 00:51,9,3,China
141,2/25/20 00:50,499,68,China
142,2/24/20 22:22,1,0,International
143,2/24/20 20:50,1,0,International
144,2/24/20 20:45,2,0,International
145,2/24/20 19:15,14,0,International
146,2/24/20 19:14,5,1,International
147,2/24/20 17:45,18,0,International
148,2/24/20 17:20,1,0,International
149,2/24/20 15:00,12,0,International
150,2/24/20 14:35,0,1,International
151,2/24/20 14:13,1,0,International
152,2/24/20 13:45,4,0,International
153,2/24/20 12:54,3,0,International
154,2/24/20 12:01,7,0,International
155,2/24/20 12:00,1,0,International
156,2/24/20 11:10,19,1,International
157,2/24/20 10:52,1,0,International
158,2/24/20 09:23,2,0,International
159,2/24/20 09:17,7,0,International
160,2/24/20 09:13,0,1,International
161,2/24/20 08:57,38,0,International
162,2/24/20 08:20,4,4,International
163,2/24/20 08:05,70,0,International
164,2/24/20 07:57,0,1,International
165,2/24/20 07:35,1,0,International
166,2/24/20 06:23,1,0,International
167,2/24/20 06:18,1,0,International
168,2/24/20 03:05,409,148,China
169,2/24/20 01:19,161,1,International
170,2/22/20 19:21,1,0,International
171,2/22/20 16:40,23,0,International
172,2/22/20 16:36,0,1,International
173,2/22/20 16:15,4,0,International
174,2/22/20 14:38,0,1,China
175,2/22/20 12:30,57,0,International
176,2/22/20 12:01,0,1,International
177,2/22/20 11:55,16,0,International
178,2/22/20 10:54,0,1,International
179,2/22/20 10:25,8,0,International
180,2/22/20 09:53,15,3,International
181,2/22/20 09:25,2,0,International
182,2/22/20 09:19,34,0,International
183,2/22/20 09:11,4,0,International
184,2/22/20 08:58,1,0,International
185,2/22/20 08:08,46,1,International
186,2/22/20 07:30,0,1,China
187,2/22/20 06:50,2,0,International
188,2/22/20 02:45,1,0,International
189,2/22/20 01:57,18,1,China
190,2/22/20 01:15,95,2,International
191,2/22/20 00:18,25,0,International
192,2/21/20 23:47,3,0,International
193,2/21/20 23:15,630,96,China
194,2/21/20 22:44,16,0,International
195,2/21/20 20:36,1,0,International
196,2/21/20 18:08,7,0,International
197,2/21/20 17:30,1,0,International
198,2/21/20 16:10,1,0,International
199,2/21/20 14:47,1,0,International
200,2/21/20 14:48,33,1,International
201,2/21/20 14:47,2,0,International
202,2/21/20 14:45,3,0,International
203,2/21/20 14:10,4,0,International
204,2/21/20 14:00,1,0,International
205,2/21/20 13:30,1,0,International
206,2/21/20 13:10,1,0,International
207,2/21/20 13:05,4,0,International
208,2/21/20 12:47,1,0,International
209,2/21/20 11:30,9,0,International
210,2/21/20 10:35,1,0,International
211,2/21/20 09:09,10,1,International
212,2/21/20 08:17,87,0,International
213,2/21/20 07:59,1,0,International
214,2/21/20 04:30,1,0,International
215,2/21/20 03:05,2,0,International
216,2/21/20 03:00,1,0,International
217,2/21/20 01:01,142,0,International
218,2/21/20 00:46,1,0,International
219,2/21/20 00:45,31,3,China
220,2/21/20 00:45,366,106,China
221,2/20/20 23:52,1,0,International
222,2/20/20 23:51,2,0,International
223,2/20/20 22:35,1,0,International
224,2/20/20 21:05,1,0,International
225,2/20/20 20:30,1,0,International
226,2/20/20 19:50,1,0,International
227,2/20/20 19:20,1,0,International
228,2/20/20 19:10,18,0,International
229,2/20/20 17:21,2,0,International
230,2/20/20 17:15,8,0,International
231,2/20/20 15:48,426,0,China
232,2/20/20 14:22,2,0,International
233,2/20/20 13:33,2,0,International
234,2/20/20 13:30,1,0,International
235,2/20/20 13:00,1,0,International
236,2/20/20 12:44,2,0,International
237,2/20/20 12:21,1,0,International
238,2/20/20 11:55,3,0,International
239,2/20/20 11:45,3,0,International
240,2/20/20 11:40,1,0,International
241,2/20/20 11:37,1,0,International
242,2/20/20 11:35,1,0,International
243,2/20/20 11:15,0,1,International
244,2/20/20 11:06,1,0,International
245,2/20/20 10:25,13,2,International
246,2/20/20 10:05,2,0,International
247,2/20/20 09:01,1,0,China
248,2/20/20 09:00,1,0,China
249,2/20/20 08:01,48,0,International
250,2/20/20 07:00,2,0,International
251,2/20/20 03:18,3,0,International
252,2/20/20 02:26,1,0,China
253,2/20/20 02:25,202,0,China
254,2/20/20 02:07,3,1,China
255,2/20/20 02:06,1,0,China
256,2/20/20 02:05,1,0,China
257,2/20/20 02:04,1,0,China
258,2/20/20 02:03,3,0,China
259,2/20/20 02:02,5,0,China
260,2/20/20 02:00,1,0,China
261,2/20/20 01:59,1,0,China
262,2/20/20 01:58,28,0,China
263,2/20/20 01:57,2,0,China
264,2/20/20 01:56,1,0,China
265,2/20/20 01:50,477,2,China
266,2/20/20 01:02,45,0,International
267,2/20/20 00:35,1,0,International
268,2/19/20 23:52,2,0,International
269,2/19/20 23:51,4,0,International
270,2/19/20 23:49,4,0,International
271,2/19/20 22:59,1,0,International
272,2/19/20 21:10,411,115,China
273,2/19/20 20:33,2,0,International
274,2/19/20 14:21,1,0,International
275,2/19/20 13:43,1,0,International
276,2/19/20 13:05,1,0,China
277,2/19/20 12:00,1,0,International
278,2/19/20 11:55,0,1,China
279,2/19/20 11:25,13,0,International
280,2/19/20 11:00,1,0,International
281,2/19/20 09:38,1,0,International
282,2/19/20 09:37,1,0,International
283,2/19/20 09:36,1,0,International
284,2/19/20 09:35,1,0,International
285,2/19/20 09:30,3,0,International
286,2/19/20 08:21,0,1,International
287,2/19/20 08:15,17,0,International
288,2/19/20 06:29,5,0,International
289,2/19/20 06:15,2,0,International
290,2/19/20 05:00,1,0,China
291,2/19/20 02:50,1,0,China
292,2/19/20 02:40,0,2,International
293,2/19/20 02:31,1,0,International
294,2/19/20 02:10,0,1,China
295,2/19/20 02:05,2,1,China
296,2/19/20 01:57,5,0,China
297,2/19/20 01:53,3,1,China
298,2/19/20 01:49,1,0,China
299,2/19/20 01:47,0,1,China
300,2/19/20 01:44,1,1,China
301,2/19/20 01:35,2,0,China
302,2/19/20 01:33,6,0,China
303,2/19/20 01:30,6,0,China
304,2/19/20 01:24,2,1,China
305,2/19/20 01:18,5,0,China
306,2/19/20 01:12,1,0,China
307,2/19/20 01:10,1,0,China
308,2/19/20 01:03,2,0,China
309,2/19/20 01:02,2,0,China
310,2/19/20 01:01,4,0,China
311,2/19/20 01:00,1,0,China
312,2/19/20 00:59,24,0,International
313,2/18/20 23:20,5,0,International
314,2/18/20 22:50,349,108,China
315,2/18/20 17:01,2,0,International
316,2/18/20 17:00,1,0,International
317,2/18/20 15:00,2,0,International
318,2/18/20 13:10,2,0,China
319,2/18/20 13:01,0,1,China
320,2/18/20 13:00,1,0,International
321,2/18/20 12:25,1,0,International
322,2/18/20 12:15,3,0,International
323,2/18/20 11:45,3,0,International
324,2/18/20 10:32,1,0,International
325,2/18/20 10:31,1,0,International
326,2/18/20 10:10,1,0,International
327,2/18/20 09:53,79,0,International
328,2/18/20 09:10,1,0,International
329,2/18/20 08:40,1,0,International
330,2/18/20 08:04,4,0,International
331,2/18/20 07:35,1,0,International
332,2/18/20 03:22,1,0,International
333,2/18/20 03:09,2,0,International
334,2/18/20 02:05,2,0,China
335,2/18/20 02:00,0,1,International
336,2/18/20 01:22,1,0,China
337,2/18/20 01:20,1,0,China
338,2/18/20 01:09,1,0,China
339,2/18/20 00:59,15,0,International
340,2/18/20 00:58,2,0,China
341,2/18/20 00:54,6,0,China
342,2/18/20 00:51,4,0,China
343,2/18/20 00:50,2,0,China
344,2/18/20 00:44,1,0,China
345,2/18/20 00:37,6,0,China
346,2/18/20 00:23,1,0,China
347,2/18/20 00:20,1,1,China
348,2/18/20 00:18,5,0,China
349,2/18/20 00:11,2,0,China
350,2/18/20 00:09,1,0,China
351,2/18/20 00:08,47,2,China
352,2/17/20 23:55,4,0,China
353,2/17/20 23:08,2,0,China
354,2/17/20 22:30,693,132,China
355,2/17/20 19:30,1,0,China
356,2/17/20 16:00,0,1,China
357,2/17/20 16:00,1,0,China
358,2/17/20 15:50,1,0,International
359,2/17/20 13:10,1,0,International
360,2/17/20 12:03,3,0,International
361,2/17/20 12:02,1,0,International
362,2/17/20 12:01,3,0,International
363,2/17/20 12:00,4,0,International
364,2/17/20 10:00,88,0,International
365,2/17/20 05:23,1,0,International
366,2/17/20 04:16,0,1,China
367,2/17/20 03:15,2,0,China
368,2/17/20 03:00,6,0,China
369,2/17/20 02:01,1,0,China
370,2/17/20 01:46,7,0,China
371,2/17/20 01:45,13,0,China
372,2/17/20 01:42,2,0,China
373,2/17/20 01:30,3,0,China
374,2/17/20 01:05,1,0,China
375,2/17/20 01:03,6,0,China
376,2/17/20 01:02,3,0,China
377,2/17/20 01:01,1,0,International
378,2/17/20 00:42,9,0,China
379,2/16/20 23:59,77,5,China
380,2/16/20 23:34,1,0,China
381,2/16/20 22:49,807,93,China
382,2/16/20 21:00,1,0,China
383,2/16/20 18:00,1,0,China
384,2/16/20 14:06,2,0,International
385,2/16/20 13:40,1,0,International
386,2/16/20 12:16,3,0,International
387,2/16/20 12:10,2,0,International
388,2/16/20 08:58,85,0,International
389,2/16/20 07:14,4,0,International
390,2/16/20 06:55,14,0,International
391,2/16/20 05:30,1,0,International
392,2/16/20 03:04,1,0,China
393,2/16/20 02:51,1,0,International
394,2/16/20 02:35,1,0,International
395,2/16/20 01:11,4,0,China
396,2/16/20 01:08,5,0,China
397,2/16/20 01:00,1,0,International
398,2/16/20 01:00,9,0,China
399,2/16/20 00:59,34,2,China
400,2/16/20 00:44,2,0,China
401,2/16/20 00:43,1,0,China
402,2/16/20 00:30,11,0,China
403,2/16/20 00:29,14,0,China
404,2/16/20 00:24,15,3,China
405,2/16/20 00:09,4,0,China
406,2/15/20 23:58,12,0,China
407,2/15/20 23:39,3,0,China
408,2/15/20 22:50,4,0,China
409,2/15/20 22:48,933,100,China
410,2/15/20 19:30,1,0,International
411,2/15/20 12:50,3,0,International
412,2/15/20 11:01,2,1,International
413,2/15/20 10:29,1,0,International
414,2/15/20 10:22,5,0,International
415,2/15/20 09:20,1,0,International
416,2/15/20 07:05,2,0,China
417,2/15/20 07:00,3,0,China
418,2/15/20 02:15,5,0,China
419,2/15/20 02:10,13,0,China
420,2/15/20 01:35,70,0,International
421,2/15/20 01:24,12,0,China
422,2/15/20 01:22,12,0,China
423,2/15/20 01:18,5,0,China
424,2/15/20 01:13,22,0,China
425,2/15/20 01:05,2,0,China
426,2/15/20 01:01,1,0,International
427,2/15/20 00:55,1,0,China
428,2/15/20 00:53,100,1,China
429,2/15/20 00:44,20,0,China
430,2/15/20 00:41,11,2,China
431,2/15/20 00:10,19,0,China
432,2/15/20 00:06,5,0,China
433,2/14/20 23:07,6,0,China
434,2/14/20 22:15,843,139,China
435,2/14/20 20:34,1,0,International
436,2/14/20 15:55,1,0,International
437,2/14/20 13:01,5,0,International
438,2/14/20 12:15,1,0,International
439,2/14/20 10:07,2,0,China
440,2/14/20 10:06,1,0,China
441,2/14/20 09:05,8,0,International
442,2/14/20 08:47,67,0,International
443,2/14/20 07:03,2,0,International
444,2/14/20 06:05,1,0,International
445,2/14/20 05:19,2,0,International
446,2/14/20 04:30,3,1,China
447,2/14/20 04:18,1,0,China
448,2/14/20 03:18,1,0,International
449,2/14/20 02:33,7,0,China
450,2/14/20 02:25,7,0,China
451,2/14/20 02:20,11,0,China
452,2/14/20 02:02,13,0,China
453,2/14/20 02:00,16,0,China
454,2/14/20 01:55,13,0,China
455,2/14/20 01:52,7,0,China
456,2/14/20 01:51,28,0,China
457,2/14/20 01:04,33,0,China
458,2/14/20 00:10,193,3,China
459,2/13/20 23:45,8,0,China
460,2/13/20 23:35,7,0,China
461,2/13/20 23:30,5,0,China
462,2/13/20 23:10,420,139,China
463,2/13/20 17:00,1,0,International
464,2/13/20 14:03,1,0,International
465,2/13/20 14:00,1,0,International
466,2/13/20 13:54,1,0,International
467,2/13/20 13:50,1,0,International
468,2/13/20 11:05,9,0,International
469,2/13/20 10:09,2,0,International
470,2/13/20 09:15,3,0,International
471,2/13/20 08:47,3,1,China
472,2/13/20 08:02,4,0,China
473,2/13/20 07:51,1,0,International
474,2/13/20 03:25,267,5,China
475,2/13/20 00:43,1,0,International
476,2/12/20 23:45,823,116,China
477,2/12/20 14:50,3,0,International
478,2/12/20 15:10,1,0,International
479,2/12/20 12:40,1,0,International
